Exam,Type,Q#,Course/Grade,IM - Unit,IM - Section,Cluster,Standard,Curriculum Notes
2025,MC,35,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-7.SP.3,"Grade 7, Unit 8, Lesson 18: ""Comparing Populations Using Samples"" 
From the ""Steel from Different Regions"" activity: 
""The box plots show the percentage of carbon in steel samples from two regions. Region 1 has a median of 0.64% carbon and Region 2 has a median of 0.47% carbon. [Box plots showing carbon percentages for Region 1 and Region 2] What is the difference between the median carbon percentages of Region 1 and Region 2?"""
2025,MC,36,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.2,"Grade 7, Unit 4, Lesson 8: ""Percent Increase and Decrease with Equations""
From the ""Decorating Fabric"" activity: 
""Before making a mola, the layers of fabric weighed 4.7 ounces. When the mola was finished, the weight had decreased by 17%. What is the weight of the finished mola?"""
2025,MC,37,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.1c,"Grade 7, Unit 5, Lesson 2: ""Changing Temperatures""
From the ""Winter Temperatures"" activity: 
""One winter day, the temperature in Houston is 8° Celsius. In Minneapolis, it is 20° colder than it is in Houston. What was the temperature in Minneapolis?"""
2025,MC,38,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.3,"Grade 7, Unit 6, Lesson 11: ""Using Equations to Solve Problems""
From the ""At the Community Festival"" activity: 
""A family of 6 goes to the festival. They have a coupon for 1.50 off each ticket. If they pay 46.50 for all their tickets, how much does each ticket cost without the coupon?"""
2025,CR,39,7th Grade,8,Data Sets and Distributions (6th Grade),Statistics and Probability,NY-6.SP.5a,"Grade 6, Unit 8, Lesson 6: ""Interpreting Histograms""
From the ""Dog Show (Part 2)"" activity: 
""Each bar includes the left-end value but not the right-end value. For example, the first bar includes dogs that weigh 60 pounds and 68 pounds but not 80 pounds. An 80-pound dog would be included in the second bar with a frequency of 11..."""
2025,CR,40,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.2c,"Grade 7, Unit 5, Lesson 10: ""Multiply!""
From the ""Row Game: Multiplying Rational Numbers"" activity: 
The problem presents pairs of expressions that should have equal values, such as: Column A: ""-10 · (3.2) · (-7.3)"" Column B: ""5 · (-1.6) · (-29.2)"""
2025,CR,41,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-7.SP.8a & SP.8b,"Grade 7, Unit 8, Lesson 8: ""Keeping Track of All Possible Outcomes""
From the ""Lists, Tables, and Trees"" activity: 
""Spin a color, then spin a number."" [Shows two spinners: one with 4 equal sections (R, B, G, Y) and one with 5 equal sections (1, 2, 3, 4, 5)]"
2025,CR,42,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4a,"Grade 7, Unit 6, Lesson 6: ""Distinguishing between Two Types of Situations""
From the ""Card Sort"" activity:
""For each equation that you sort into a category, explain to your partner why it belongs to the category"""
2025,CR,43,7th Grade,6,"Expressions, Equations, and Inequalities",The Number System,NY-7.NS.1a ,"Grade 7, Unit 5, Lesson 6: ""Finding Differences"" 
From the ""Expressions with Altitude"" activity: 
""A mountaineer is changing elevations. The table shows beginning and final elevations. For each row: Write an expression that represents the difference between the final elevation and the beginning elevation. Find the change in the mountaineer's elevation in feet. Example row: Beginning elevation: +400 feet Final elevation: -120 feet Expression: -120 - 400"""
2025,CR,44,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.1,"Grade 7, Unit 4, Lesson 2: ""Ratios and Rates with Fractions""
From the ""Comparing Running Speeds"" activity: 
""Lin ran 2¾ miles in ⅖ of an hour. Noah ran 8⅔ miles in 4/3 of an hour. Who ran faster, Noah or Lin?"""
2025,CR,45,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2a,"Grade 7, Unit 2, Lesson 2: ""Introducing Proportional Relationships with Tables"" 
From the ""Making Coco Bread"" activity: 
""A bakery uses 200 milliliters of coconut milk for every 360 grams of flour. How many grams of flour do they use with 500 milliliters of coconut milk?"""
2025,CR,46,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.1,"Grade 7, Unit 6, Lesson 18: ""Subtraction in Equivalent Expressions"" 
From the ""A Helpful Observation"" activity: 
""Write an expression with three terms that is equivalent to 7¾ + 3⅚ - 1¾ and uses only addition."""
2025,CR,47,7th Grade,1,Scale Drawings,Geometry,NY-7.G.1 ,"Grade 7, Unit 1, Lesson 12: ""Units in Scale Drawings""
From the ""Pondering Pools"" activity: 
""The kidney-shaped pool has an area of 3.2 cm² on the drawing. What is its actual area? The scale of the floor plan is 1 cm to 15 m."""
2025,CR,48,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.3,"Grade 7, Unit 4, Lesson 12: ""Solving Multi-step Percentage Problems"" 
From the ""What Is the Percentage?"" activity: ""The original price of a bicycle was 375. Now it is on sale for 295. What percentage of the original price was the markdown?"""
2024,MC,1,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2b,"Grade 7, Unit 2, Lesson 2: ""Introducing Proportional Relationships with Tables""
From the ""Notice and Wonder: Paper Towels by the Case"" activity: 
""Here is a table that shows how many rolls of paper towels a store receives when they order different numbers of cases."""
2024,MC,4,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4a,"Grade 7, Unit 6, Lesson 11: ""Using Equations to Solve Problems"" 
From the ""At the Community Festival"" activity: 
""Noah and his sister make prize bags for a game at the festival. Noah puts 7 pencil erasers in each bag. His sister puts an equal number of stickers in each bag. After filling 3 of the bags, they have used a total of 57 items. How many stickers does Noah's sister put in each prize bag?"""
2024,MC,5,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.1c,"Grade 7, Unit 5, Lesson 2: ""Changing Temperatures""
From the ""Winter Temperatures"" activity: 
""One winter day, the temperature in Houston is 8° Celsius. In Minneapolis, it is 20° colder than it is in Houston. What is the temperature in Minneapolis?"""
2024,MC,7,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-6.SP.2,"Grade 7, Unit 8, Lesson 13: ""What Makes a Good Sample?"" 
From the ""Screen Time"" activity: 
""100 students in grade 7 are asked how many hours they spend in front of a computer. Looking at the dot plot showing the distribution of hours for the population and three different samples, which sample would best represent the population? Explain your reasoning."""
2024,MC,10,7th Grade,6,"Expressions Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4b,"Grade 7, Unit 6, Lesson 14: ""Finding Solutions to Inequalities in Context"" 
From the ""Earning Money for Soccer Stuff"" activity: 
""Diego has 45 to spend at the carnival. The entrance fee is 12 and each ride ticket costs $2.50. Let x represent the number of ride tickets. Write and solve an inequality to find how many ride tickets Diego can buy."""
2024,MC,11,7th Grade,4,Proportional Relationships and Percentages,Expressions and Equations ,NY-7.EE.2,"Grade 7, Unit 4, Lesson 8: ""Percent Increase and Decrease with Equations""
From the ""Decorating Fabric"" activity: 
""Before making a mola, the layers of fabric weighed 4.7 ounces. When the mola was finished, the weight had decreased by 17%. What is the weight of the finished mola?"""
2024,MC,13,7th Grade,6,"Expressions Equations, and Inequalities",Expressions and Equations ,NY-7.EE.1,"Grade 7, Unit 6, Lesson 19: ""Factoring and Expanding with Negative Numbers"" 
From the ""Factoring and Expanding"" activity: 
""In each row, write the equivalent expression. If you get stuck, use a diagram to organize your work. For the expression -2x(3y-z), write an equivalent expression in expanded form. What does it mean to expand this expression? How does the negative sign affect each term inside the parentheses? How can you check if your expanded expression -6xy + 2xz is correct?"""
2024,MC,14,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-7.SP.1,"Grade 7, Unit 8, Lesson 18: ""Comparing Populations Using Samples"" 
From the ""Steel from Different Regions"" activity: 
""Here are the box plots showing the percentage of carbon in samples of steel that were found in two different regions. The box plot for Region 1 shows a median of 0.64% with an IQR of 0.05%, while Region 2 shows a median of 0.47% with an IQR of 0.03%. Is there a meaningful difference between the steel artifacts found in these regions? Explain your reasoning using the medians and IQRs."""
2024,MC,15,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.1d,"Grade 7, Unit 5, Lesson 6: ""Finding Differences""
From the ""Does the Order Matter?"" activity: 
The problem presents pairs of expressions to compare, including: Column A: ""(-2¼) - (-3¼)"" Column B: ""(-3¼) - (-2¼)"""
2024,MC,17,7th Grade,5,Rational Number Arithmetic,Expressions and Equations ,NY-7.EE.3,"Grade 7, Unit 5, Lesson 14: ""Solving Problems with Rational Numbers"" 
From the ""Movie Theater Sales"" activity: 
""A theater shows two movies on Saturday night. For the first movie, they sold 180 tickets. The second movie sold 25% more tickets than the first movie. If each ticket costs $12.75, what was the total amount of ticket sales, in dollars, for both movies?"""
2024,MC,21,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2c,"Grade 7, Unit 2, Lesson 4: ""Proportional Relationships and Equations"" 
From the ""Denver to Chicago"" activity: 
""A plane flew at a constant speed between Denver and Chicago. It took the plane 1.5 hours to fly 915 miles. Complete the table. If d represents the distance that the plane flies at this speed for t hours, write an equation that relates t and d."""
2024,MC,26,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.1,"Grade 7, Unit 4, Lesson 2: ""Ratios and Rates with Fractions""
From the ""A Train Is Traveling at..."" activity:
 ""A train is traveling at a constant speed and goes 7½ kilometers in 6 minutes. At that rate, how far does the train go in 1 minute?"""
2024,MC,29,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.3,"Grade 7, Unit 4, Lesson 12: ""Solving Multi-step Percentage Problems""
From the ""What Is the Percentage?"" activity: 
""A salesperson sold a car for 18,250, and their commission is  693.50. What percentage of the sale price is their commission?"""
2024,MC,30,7th Grade,2,Introducing Proportional Relationships ,Expressions and Equations ,NY-7.EE.4b,"Grade 7, Unit 6, Lesson 14: ""Finding Solutions to Inequalities in Context"" 
From the ""Earning Money for Soccer Stuff"" activity: 
""Diego has 45 to spend at the carnival. The entrance fee is 12 and each ride ticket costs $2.50. Let x represent the number of ride tickets. Write and solve an inequality to find how many ride tickets Diego can buy."""
2024,MC,31,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.3,"Grade 7, Unit 5, Lesson 13: ""Expressions with Rational Numbers"" 
From the ""Card Sort"" activity: 
""How are a number and its opposite the same or different? What operation is equivalent to subtracting a given number? How are a number and its reciprocal the same or different? What operation is equivalent to dividing by a given number?"""
2024,MC,33,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.1a,"Grade 7, Unit 5, Lesson 3: ""Changing Elevation"" 
From the ""That's the Opposite"" activity: 
""Which situation results in a final value of zero? A) A climber starts at 30 feet above sea level and climbs up 30 more feet B) A climber starts at 30 feet above sea level and descends 30 feet C) A climber starts at -30 feet below sea level and climbs up 15 feet D) A climber starts at 30 feet above sea level and descends 15 feet"""
2024,MC,34,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.3,"Grade 7, Unit 4, Lesson 2: ""Ratios and Rates with Fractions"" 
From the ""A Train Is Traveling"" activity: 
""A train travels 15/2 miles in 6 minutes. At this rate, how far does the train travel in 100 minutes?"""
2024,MC,35,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-7.SP.3,"Grade 7, Unit 8, Lesson 11: ""Comparing Groups"" 
From the ""More Team Heights"" activity: 
""Two dot plots show the heights of players on a basketball team and a soccer team. The mean height of basketball players is 10 centimeters greater than the mean height of soccer players, about twice the mean absolute deviation (MAD) on either team. Based on the dot plots and these statistics, are the heights of the two teams very different from each other? Explain your reasoning using both the visual display and the numerical measures."""
2024,MC,36,7th Grade,4,Proportional Relationships and Percentages,The Number System,NY-7.NS.3,"Grade 7, Unit 4, Lesson 2: ""Ratios and Rates with Fractions"" 
From the ""Math Talk: Division"" activity: 
""A school has 240 students. 3/4 of the students play sports. Of those who play sports, 2/5 are also in band. How many students are both in sports and band?"""
2024,MC,37,7th Grade,6,"Expressions Equations, and Inequalities",Expressions and Equations ,NY-7.EE.1,"Grade 7, Unit 6, Lesson 19: ""Expanding and Factoring"" 
From the ""Factoring and Expanding with Negative Numbers"" activity: 
""Complete the table by writing equivalent expressions. The first one is done for you: Factored: -3(5 - 2y) Expanded: -15 + 6y"""
2024,MC,38,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2b,"Grade 7, Unit 2, Lesson 11: ""Interpreting Graphs of Proportional Relationships"" 
From the ""Seagulls Eat What?"" activity: 
""4 seagulls ate 10 pounds of garbage. Assume this information describes a proportional relationship..."""
2024,CR,39,7th Grade,2,Representing Proportional Relationships with Equations,Ratios and Proportional Relationships,NY-7.RP.2c,"Grade 7, Unit 2, Lesson 6: ""Writing Equations to Represent Relationships"" 
From the ""Recycling"" activity: 
""Write an equation to represent the relationship between each pair of quantities."""
2024,CR,40,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.2c,"Grade 7, Unit 5, Lesson 9: ""Multiplying Rational Numbers (Part 2)"" 
From the ""Rational Numbers Multiplication Grid"" activity: 
""Complete the multiplication square for numbers from -5 to 5. What patterns do you notice about: A positive number times a positive number? A negative number times a positive number? A negative number times a negative number?"""
2024,CR,41,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.3,"Grade 7, Unit 4, Lesson 12: ""Solving Multi-step Percentage Problems"" 
From the ""What Is the Percentage?"" activity: ""The original price of a bicycle was 375. Now it is on sale for 295. What percentage of the original price was the markdown?"""
2024,CR,42,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.1d,"Grade 7, Unit 5, Lesson 3: ""Cliffs and Caves"" 
From the ""Cliffs and Caves"" activity: 
""A spelunker starts at -200 feet (below sea level) in a cave. She climbs up 100 feet, then down 150 feet, and finally up 200 feet. What is her final elevation?"
2024,CR,43,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.1,"Grade 7, Unit 4, Lesson 2: ""Ratios and Rates with Fractions""
From the ""A Train Is Traveling at..."" activity:
 ""A train is traveling at a constant speed and goes 7½ kilometers in 6 minutes. At that rate, how far does the train go in 1 minute?"""
2024,CR,44,7th Grade,1,Scale Drawings,Geometry,NY-7.G.1,"Grade 7, Unit 1, Lesson 12: ""Units in Scale Drawings"" 
From ""The World's Largest Flag"" activity: 
""A scale drawing uses a scale of 1 centimeter = 20 meters. If the actual length of a building is 140 meters, what is the length of the building in the scale drawing?"""
2024,CR,45,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4a,"Grade 7, Unit 6, Lesson 11: ""Using Equations to Solve Problems"" 
From the ""At the Community Festival"" activity: 
""Noah and his sister make prize bags for a game at the festival. Noah puts 7 pencil erasers in each bag. His sister puts an equal number of stickers in each bag. After filling 3 of the bags, they have used a total of 57 items. How many stickers does Noah's sister put in each prize bag?"""
2024,CR,46,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.1,"Grade 7, Unit 6, Lesson 19: ""Expanding and Factoring"" 
From the ""Factoring and Expanding with Negative Numbers"" activity: 
""Complete the table by writing equivalent expressions. The first one is done for you: Factored: -3(5 - 2y) Expanded: -15 + 6y"""
2024,CR,47,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-7.SP.8a,"Grade 7, Unit 8, Lesson 4: ""Estimating Probabilities through Repeated Experiments""
From the ""In the Long Run"" activity: 
""Mai plays a game where she rolls a number cube. She only wins if she rolls a 1 or 2. List the outcomes in the sample space for rolling the number cube. What is the probability Mai will win the game? If Mai is given the option to flip a coin and win if it comes up heads, is that a better option for her to win?"""
2024,CR,48,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.3,"Grade 7, Unit 4, Lesson 12: ""Solving Multi-step Percentage Problems"" 
From the ""What Is the Percentage?"" activity: ""The original price of a bicycle was 375. Now it is on sale for 295. What percentage of the original price was the markdown?"""
2023,MC,1,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.2c,"Grade 7, Unit 5, Lesson 11: ""Dividing Rational Numbers"" 
From the ""Multiplication and Division"" activity: ""Complete these sentences and explain your reasoning:
A positive number divided by a negative number equals a _______.
A negative number divided by a positive number equals a _______.
A negative number divided by a negative number equals a _______.
Write an equation to show why -6 ÷ (-2/3) = 9."""
2023,MC,2,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.3,"Grade 7, Unit 6, Lesson 11: ""Using Equations to Solve Problems"" 
From the ""At the Community Festival"" activity: 
""Noah and his sister make prize bags for a game at the festival. Noah puts 7 pencil erasers in each bag. His sister puts an equal number of stickers in each bag. After filling 3 of the bags, they have used a total of 57 items. How many stickers does Noah's sister put in each prize bag?"""
2023,MC,4,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2b,"Grade 7, Unit 2, Lesson 2: ""Introducing Proportional Relationships with Tables"" 
From the ""Making Coco Bread"" activity:
""A bakery uses 200 milliliters of coconut milk for every 360 grams of flour to make coco bread. Complete the table and answer: How many grams of flour do they use with 500 milliliters of coconut milk? How many milliliters of coconut milk do they use with 450 grams of flour? What is the constant of proportionality in this relationship?"""
2023,MC,5,7th Grade,6,"Expressions, Equations, and Inequalities",The Number System,NY-7.NS.1d,"Grade 7, Unit 5, Lesson 6: ""Finding Differences""
From the ""Does the Order Matter?"" activity: 
The problem presents pairs of expressions to compare, including: Column A: ""(-2¼) - (-3¼)"" Column B: ""(-3¼) - (-2¼)"""
2023,MC,8,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.3,"Grade 7, Unit 5, Lesson 14: ""Solving Problems with Rational Numbers"" 
From the ""Solar Power"" activity: 
""A family has solar panels on their roof. One cloudy day, the family uses 32.4 kWh of electricity, and their solar panels generate 9.2 kWh. One sunny day, the family uses 36.1 kWh of electricity, and their solar panels generate 45.7 kWh. Calculate the family's net consumption of electricity for each day. What is the average daily consumption? If electricity costs $0.16 per kWh, what is their average daily cost?"""
2023,MC,9,7th Grade,8,Data Sets and Distributions (6th Grade),Statistics and Probability,NY-6.SP.5c,"Grade 6, Unit 8, Lesson 13: ""Median"" 
From the ""Siblings in the House"" activity: 
""Here are data that show the numbers of siblings of ten students in Tyler's class: 1, 0, 2, 1, 7, 0, 2, 0, 1, 10. Represent the data shown with a dot plot. Without making any calculations, estimate the center of the data based on your dot plot. What is a typical number of siblings for these sixth-grade students? Find the mean and median. Show your reasoning. Which measure of center better represents a typical value for this data set? Explain your reasoning."""
2023,MC,13,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2a,"Grade 7, Unit 2, Lesson 2: ""Introducing Proportional Relationships with Tables"" 
From the ""Making Coco Bread"" activity: 
""To make coco bread, a bakery uses 200 milliliters of coconut milk for every 360 grams of flour. Some days they bake bigger batches and some days they bake smaller batches, but they always use the same ratio of coconut milk to flour."""
2023,MC,16,7th Grade,8,Probability and Sampling,Statistics and Probability,NY-7.SP.4,"Grade 7, Unit 8, Lesson 18: ""Comparing Populations Using Samples"" 
From the ""Steel from Different Regions"" activity: 
""The box plots show the percentage of carbon in steel samples from two regions. Region 1 has a median of 0.64% carbon and Region 2 has a median of 0.47% carbon. [Box plots showing carbon percentages for Region 1 and Region 2] What is the difference between the median carbon percentages of Region 1 and Region 2?"""
2023,MC,17,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.4a,"Grade 7, Unit 6, Lesson 11: ""Using Equations to Solve Problems""
From the ""At the Community Festival"" activity: 
""A family of 6 goes to the festival. They have a coupon for 1.50 off each ticket. If they pay 46.50 for all their tickets, how much does each ticket cost without the coupon?"""
2023,MC,18,7th Grade,5,Rational Number Arithmetic,The Number System,NY-7.NS.3,"Grade 7, Unit 5, Lesson 13: ""Expressions with Rational Numbers"" 
From the ""Card Sort"" activity: 
""How are a number and its opposite the same or different? What operation is equivalent to subtracting a given number? How are a number and its reciprocal the same or different? What operation is equivalent to dividing by a given number?"""
2023,MC,21,7th Grade,6,"Expressions, Equations, and Inequalities",Expressions and Equations ,NY-7.EE.2,"Grade 7, Unit 6, Lesson 18: ""Subtraction in Equivalent Expressions""
From the ""A Helpful Observation"" activity:
""A store is having a sale. A sweater's original price is p. The expression p - 0.25p represents the sale price in dollars. Which of these expressions is also equivalent to the sale price?"
2023,MC,23,7th Grade,4,Proportional Relationships and Percentages,Ratios and Proportional Relationships,NY-7.RP.3,"Grade 7, Unit 4, Lesson 12: ""Solving Multi-step Percentage Problems""
From the ""What Is the Percentage?"" activity: 
""A salesperson sold a car for 18,250, and their commission is  693.50. What percentage of the sale price is their commission?"""
2023,MC,25,7th Grade,2,Introducing Proportional Relationships ,Ratios and Proportional Relationships,NY-7.RP.2c,"Grade 7, Unit 2, Lesson 4: ""Proportional Relationships and Equations"" 
From the ""Denver to Chicago"" activity: 
""A plane flew at a constant speed between Denver and Chicago. It took the plane 1.5 hours to fly 915 miles. Complete the table. If d represents the distance that the plane flies at this speed for t hours, write an equation that relates t and d."""
